"","X","Date","Collector","Lat","Lon","Ocean","Country","Province","Site","Site_code","Depth_m","Rep","Taxa","Bleach_cat","Temp","CRW_DHW","CRW_SST","CRW_SSTANOMALY","HabHet_count_150m","HabHet_mean_150m","HabHet_stdev_150m","HabHet_max_150m","HabHet_range_150m","HabHet_count_1000m","HabHet_mean_1000m","HabHet_stdev_1000m","HabHet_max_1000m","HabHet_range_1000m","Notes","Bleached","Bleached_sev","Bleach_cat_3","Coral_cover","Dead_coral_recent","Dead_coral","Soft_coral","Sponge","Algae","Other","Rubble","Sand","Silt","Rock","TWS"
"1",1,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",5,"Other",1,29,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",0,0,"Not Bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"2",2,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",5,"Pocillopora",3,29,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",1,0,"Bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"3",3,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",5,"Porites",4,29,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",1,1,"Severely bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"4",4,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",5,"Porites",3,29,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",1,0,"Bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"5",5,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",5,"Acropora",5,29,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",1,1,"Severely bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"6",6,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",5,"Acropora",4,29,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",1,1,"Severely bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"7",7,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",4,"Porites",1,30,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",0,0,"Not Bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"8",8,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",4,"Other",1,30,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",0,0,"Not Bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"9",9,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",4,"Other",1,30,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",0,0,"Not Bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
"10",10,"26-04-20","Chancey MacDonald",-5.52731,121.99861,"Pacific","Indonesia","South East Sulawesi","Telaga_Besar_Barat","SES 02","18",4,"Other",1,30,4.35,30.56,1.26,1785,0.19640499,0.072737029,0.40884161,0.357691944,21387,0.170709176,0.091911155,0.467318892,0.465499889,"",0,0,"Not Bleached",7.355,0.5425,5.59,0.5425,0.5425,2.8375,7.06,19.1825,44.6175,0,11.735,0.125
